Start,End,Excerpt Copy,Codes Applied Combined,Math artefact 1,Math artefact 2,Math artefact 3,Math artefact 4,Meta Label
4029,4260,"The grasshopper’s other steps will land on a partial sums $a_{\sigma(1)} + … + a_{\sigma(k)}$ for some permutation $\sigma$, but we get to choose the permutation. Thus it seems plausible that we can avoid a given set of n-1 points.",plausibilty of conjecture,,,,,egbotdont
4321,4339,Quick observation.,introducing your comment,,,,,egbotdont
4340,4379,The grasshopper must make a first step.,sub-conjecture,,,,,egbotdont
4380,4487,"This is always possible, since the a_i are distinct and |M|=n-1; that is, there is always an a_i not in M. ",proof of sub-conjecture,,,,,egbotdont
4487,4662,"However, let’s say M matches all but one of the a_i. Then the first step is uniquely determined. Still, according to the claimed theorem, a second step must still be possible.",hypothesized case to explore conjecture/proof attempt,,,,,egbotdont
4721,4737,Following (2 3);,by number,,,,,egbotdont
4738,4967,"For any x in M, there are two possibilities:
1. x can’t be represented as a sum of (distinct) ai’s.
2. x=a_j1+a_j2…+a_jk. In this case, we may assign x the set {j1, j2…jk}

So M can actually be regarded as a subset of P({1, 2…n})",case split,,,,,egbotdont
4914,4967,"M can actually be regarded as a subset of P({1, 2…n})",sub-conjecture,,,,,egbotdont
5028,5051,Addressing Michael Lugo,by name,,,,,egbotdont
5053,5327,"I think he means number just your own comments, and then address a (person,number) pair. [Actually, I was proposing a global numbering system; I'll try to fix it up now. But the (author, number) pair approach would also have worked, except perhaps for anonymous comments. -T",technical issues,,,,,egbotdont
5330,5351,Addressing Haim(2 5):,"by name, by number",,,,,egbotdont
5353,5443,That’s pretty strong; all you need is that there exists a permutation where that is true. ,too strong,,,,,egbotdont
5443,5655,"And it doesn’t work; there are numbers $a_1,a_2,\ldots,a_n$ and sets $M$ of $n-1$ points such that, for instance, $a_1 \in M$. Then any permutation starting with $a_1$ would not satisfy your conjecture for $j=1$.",,,,,,egbotdont
5657,6030,"But, just looking for *one* permutation that satisfies $a_s(1)+a_s(2)…+a_s(j) \not \in M$ for any $j \leq n$ (which is basically the statement of the theorem), could lend itself well to induction. In other words, use the fact that for every subset $M’ \subset M$ of size $j$ not containing $a_s(1)+a_s(2)…+a_s(j)$, there is a way to permute those $j$ numbers to avoid $M’$.",induction,,,,,egbotdont
6095,6267,"The scorings of this problem accroding to the offical result are:

Score Number of Particpants
0 540
1 2
2 1
3 10
4 6
5 2
6 1
7 3

A score of 1-6 represents partial credit.",meta-level issues,,,,,egbotdont
6325,6341,Addressing Dave:,by name,,,,,egbotdont
6343,6400,"Sorry, indeed I meant: “Show that for *one* permutation…”",ammended error (own),,,,,egbotdont
6343,6348,Sorry,apologies,,,,,egbotdont
6468,6487,Regarding Haim(3 9),"by name, by number",,,,,egbotdont
6488,6649,"Unfortunately, the same integer may occur as the sum of many different subsets of M. For example, if M = {1,2,3}, do you assign the integer 3 to {3} or to {1,2}?",to a local conjecture,,,,,egbotdo
6707,6871,"can M really be regarded as a subset of P when P({1,2,…,n}) since M is a set of n-1 positive integers not containing s, and not necessarily the set of {1,2,…,(n-1)}","question, sub-conjecture",,,,,egbotdont
6931,6972,(I’m lost with the numbering of comments),technical issues,,,,,egbotdont
6974,6983,To David:,by name,,,,,egbotdont
6985,6998,You’re right.,social glue,,,,,egbotdont
6999,7295,"Instead, we may take a set of the largest possible size, and if there are two such sets, we may order their elements, and take the larger tuple in the lexicographical order. Now, this may be useful: note that M does not contain a1+a2+…+an, so each x in M must be assigned to some j-tuple with j<n",arbitrary abstract eg,,,,,egbotdo
7297,7440,Perhaps we should look for some surjective mapping from Sn to the set of <n-tuples that will assert the existence of the desirable permutation…,constructive,,,,,egbotdont
7636,7659,"nevermind. my mistake
",ammended error (own),,,,,egbotdont
8036,8704,"we need to show that there is a permutation $\sigma$ that no partial sum
$a_{\sigma(1)}+ \ldots + a_{\sigma(j)}, j = 1,2,..n$ is in the set M. we can assume that the numbers $a_1, a_2,.. a_n$ are in increasing order.
if M does not intersect the interval $[a_1, s=a_1+a_2..a_n]$ then any permutation $\sigma$ would do. so we assume that max M is less or equal to s.

choose the initial step $a_j$ where j is the smallest index j so that $a_j$ is not in M. this is possible because M has only n-1 elements. now replace the set M by $M_1 = M – a_j = m – a_j: m in M$, remove $a_j$ and set $\sigma_1 = j.$

i need to work on how to make the next step or use induction on j",induction,,,,,egbotdont
8884,8982,It’s that if on the first step you can get past a forbidden number then you are done by induction.,induction,,,,,egbotdont
8764,8883,"OK, there have been enough comments that I feel I can make my very preliminary, and not obviously helpful, observation.",introducing your comment,,,,,egbotdont
8984,10506,"However, since there is absolutely no reason to be able to do that on the first step, I think this is probably not the way to go. I’m tempted to try proving it for n=3 by an ugly method. In fact, here is an attempt at that. Let the numbers be a,b and $c$. We’re trying to get to a+b+c. Let’s write down the first two steps of all six possible routes: (a,a+b), (a,a+c), (b,b+a), (b,b+c), (c,c+a), (c,c+b). Can we find two numbers that intersect all these pairs?

The answer isn’t instantly obvious, so let’s experiment with blocking a and b+c to see what happens. Then the only possibilities left are (b,b+a) and (c,c+a). We know that we have not covered b or c. Actually, we haven’t covered b+a either (since a>0 and a\ne c).

To be more systematic, we have to see what the possible equalities are between the various numbers. We know that a,b and $c$ are distinct. Also, a+b, b+c and a+c are distinct (subtract them from a+b+c). So the only possible equalities are things like a=b+c, Moreover, only one such equality can hold, since the number that equals the sum must be the biggest of the three. So let’s suppose WLOG that b\ne a+c and c\ne a+b. Then the pairs (a,a+b), (b,a+b), (a,a+c) and (c,a+c) have only the obvious equalities. The only way of blocking all four of these paths is to take a+b and a+c. But that leaves the path (b,b+c). (It’s possible that a=b+c here, but we were forced not to block a.)

I don’t see a general argument coming out of this just yet, but a few little ideas might perhaps be developed.",simple case,,,,,egbotdo
10571,10643,"I think I’m the one who screwed up the comment numbering, so I apologize",apologies,,,,,egbotdont
10570,10858," I think I’m the one who screwed up the comment numbering, so I apologize. I’m going to number this as comment 20, and hopefully we can do sequential numbering from now on. [My count gives 19, but it should be OK to have gaps. A good rule would be: when in doubt, make the number bigger.]",technical issues,,,,,egbotdont
10914,10944,Forgive me for the silly image,ask for forgiveness,,,,,egbotdont
10913,11214," Forgive me for the silly image but that´s the only way I can”feel” the problem. I imagine our grasshopper hero going from 0 to s in n distinct jumps whose lengths are given (a1,a2,…,an) .But there are some numbers x (x belongs to M) where a landmine is placed and if our buddy falls there, game over.",metaphor,,,,,egbotdont
11216,11238,Now I am only guessing,I am guessing,,,,,egbotdont
11242,11841," I think that if we prove that we can find a sequence even for the worst case (n-1 landmines i.e all x between 1 and s-1) we have solved our problem. As it has been suggested we could try induction (for each step an unused ai can be choose so we can avoid the landmines) or we can try a combinatorial approach and prove that there is at least one sequence a1.a2…an whose set of partial sums is disjointed from M. Are these really two really different approaches? A local , step by step on (by Induction) and a global one by combinatorics? or is the same since the induction would need combinatorics?",proof strategy,,,,,egbotdont
11242,11391, I think that if we prove that we can find a sequence even for the worst case (n-1 landmines i.e all x between 1 and s-1) we have solved our problem.,worst case scenario,,,,,egbotdo
11392,11512,As it has been suggested we could try induction (for each step an unused ai can be choose so we can avoid the landmines),suggested step case,,,,,egbotdont
11516,11654,we can try a combinatorial approach and prove that there is at least one sequence a1.a2…an whose set of partial sums is disjointed from M.,combinatorial,,,,,egbotdont
11655,11841,"Are these really two really different approaches? A local , step by step on (by Induction) and a global one by combinatorics? or is the same since the induction would need combinatorics?",proof strategy,,,,,egbotdont
11901,11988,Just a quick thought after having read the problem description and the current replies.,introducing your comment,,,,,egbotdont
11988,12196," It is certainly not the case that for fixed M, *any* permutation \sigma:\{1,\ldots,n\} \rightarrow \{1,\ldots,n\} will yield a sequence of steps a_{\sigma(1)},a_{\sigma(1)}+a_{\sigma(2)},\ldots that avoid M.",yes,,,,,egbotdont
12198,12436,"But maybe the following statement, stronger than the original claim, is true: for fixed M and any permutation \sigma:\{1,\ldots,n\} \rightarrow \{1,\ldots,n\}, some cyclic permutation of \sigma will yield a sequence of steps that avoid M.",no,,,,,egbotdont
12438,12516,I haven’t thought about this approach so maybe there is an easy counterexample,I might be wrong,,,,,egbotdont
12583,12718,“maybe the following statement … is true: for fixed M … some cyclic permutation of \sigma will yield a sequence of steps that avoid M.”,by content,,,,,egbotdont
12720,12733,"Sadly, false.",emotion or value words,,,,,egbotdont
12734,12827,"Take (a_1, a_2, a_3) = (1,2,3) and take M = {2,3}. Then none of the cyclic permutations work.",to a local conjecture,,,,,egbotdo
12829,12908,"I like the idea of using a smaller group than the full symmetric group, though.",hypothesized case to explore conjecture/proof attempt,,,,,egbotdont
12975,13162,"I’m thinking about the possibility of transforming this problem into another, where there are several ways to travel from one point to another, and M regulates which ways can’t be chosen.",re-representation,,,,,egbotdont
13224,13239,My first ideas:,introducing your comment,,,,,egbotdont
13243,13339,"without loss of generality $M$. is a subset of $A:=\{1,\ldots,s-1\}$, where $s:=a_1+\ldots+a_n$.",sub-conjecture,,,,,egbotdont
13343,13490,"Let $F$ be the set of possible sums $S_{\sigma,j} $ for $\sigma\in S_n$ and $j\leq n$, as described by Haim(2). What properties does this set have?",relevant entity,,,,,egbotdo
13455,13490,What properties does this set have?,question,,,,,egbotdont
13491,13674,"One symmetry is as follows: consider $A$ as a set of $s-1$ ordered beads, of which the ones corresponding to $F$ are colored. So $F$ can be considered as a coloring of a set of beads.",re-representation,,,,,egbotdont
13676,13873,"Then consider a MOVE, given by taking a segment $b_1,\ldots,b_k$ of ordered beads, of which the _first_ and the _last_ are colored. Then reverse its order. now you have a new coloring of the beads.",sub-conjecture,,,,,egbotdont
13875,13945,I claim that the set $F$ of colored beads is invariant under any MOVE.,sub-conjecture,,,,,egbotdont
13946,13979,Is it also characterized by this?,question,,,,,egbotdont
13979,14000,(ehm..in some sense?),informal,,,,,egbotdont
14589,14604,A vague thought,introducing your comment,,,,,egbotdont
14605,14662,that came out of the brute-force approach to the case n=3,simple case,,,,,egbotdo
14665,14863,"t seems that the more coincidences there are amongst the finite sums of the a_i, the harder it is for the grasshopper, since the landmines (if we go with that image) can block several paths at once.",sub-conjecture,,,,,egbotdont
14864,14984,"So it ought, for instance, to be easy to prove that the grasshopper wins if a_i=2^{i-1} (so that all sums are distinct).",class of supporting examples,,,,,egbotdo
14985,15247,"In fact, here’s a quick proof. There are n! distinct paths, and any landmine rules out k!(n-k)! of them for some k. But this is maximized when k=1 (since k=0 and k=n are forbidden), so we can’t rule out more than a proportion n^{-1} of all paths. So we are done.",proof of sub-conjecture,,,,,egbotdont
15249,15296,At the opposite extreme is the case when a_i=i.,class of difficult examples,,,,,egbotdo
15350,15402,Does anyone have an argument for this special case? ,request for help,,,,,egbotdont
15402,15574,"Morally, it ought to be the hardest, but that doesn’t mean it’s as hard as the whole problem, since the difficulty might lie in actually proving that it’s the extreme case.",meta comment about the process,,,,,egbotdont
15628,15820,"Generalizing gowers’s comment, if for any k<n we can find k of the a_i whose partial sums avoid M and whose sum gets you past at least k of the elements of M, then you can finish by induction.",induction,,,,,egbotdont
15822,15988,"So an indecomposable instance of the problem is one for which the smallest k with the property above is k=n, these are the ones that don't directly fall to induction.",specific difficult case,,,,,egbotdo
16050,16080,(variant of Louigi’s approach),by name,,,,,egbotdont
16081,16341,"if you start with a given \sigma then maybe it can be useful to iterate “exchanging 2 successive jumps to avoid an element of M” (this uses the case n=2 discussed by Michael Lugo (2 4)).. in other words you compose your permutation with inversions, or 2-cycles","proof, simple case",,,,,egbotdo
16397,16432,Addressing 1 (reductio ad absurdum),by number,,,,,egbotdont
16434,16946,"Suppose there exists an M such that every grasshopper walk must pass through at least one point of M. Wlog let M = { S_{k_1}, S_{k_2}, …, S_{k_{n-1}}} where each S_{k_j} is a sum of k_j integers a_i. For each S_{k_j}, we have that at most (k_j)!(n-k_j)! grasshopper walks must pass through the point S_{k_j}. Since the total number of walks is n!, we must have:

(k_1)!(n-k_1)! + (k_2)!(n-k_2)! + … + (k_{n-1})!(n-{k_{n-1}})! >= n!

Clearly the left hand side is at most (n-1) (n-1)!. Hence we have n-1 > n. QED.",RAA,,,,,egbotdont
17002,17023,Re my previous post: ,previous comment by the same contributor,,,,,egbotdont
17023,17095,"This was too simple, so there must be a mistake in my proof. What is it?",what's the problem here?,,,,,egbotdont
17160,17216,Quick thought following on David Speyer’s first comment:,by name,,,,,egbotdont
17160,17173,Quick thought,introducing your comment,,,,,egbotdont
17217,17333,The problem asks us to prove that no set of size (n-1) can disconnect two diagonally opposing vertices in the n-cube,translate the conjecture,,,,,egbotdont
17464,17606,"So, now we are faced with a constructive problem, independent of the set M: Construct n vertex-disjoint paths from 0^n to 1^n in the n-cube.
",constructive,,,,,egbotdont
17335,17463,"By Menger’s theorem, this is equivalent to proving that there are n internally vertex-disjoint paths between these two vertices.",reference to other maths,,,,,egbotdont
17356,17463,this is equivalent to proving that there are n internally vertex-disjoint paths between these two vertices.,here are two equivalent conjectures,,,,,egbotdont
17664,17668,@pz:,by name,,,,,egbotdont
17669,17804,it is that you assume “wlog” a fact which is not a “generic” bad case. In the generic bad case only one of the sums S_{k} belongs to M.,wlog,,,,,egbotdont
17873,17878,To pz,by name,,,,,egbotdont
17880,18016,"the mistake is that the same element of M can be written as a sum of a_i in many ways, and can thus block many more than k!(n-k)! paths.",here is a mistake in your reasoning,,,,,egbotdont
18017,18100,"For example, if (a_1, a_2, a_3) = (1,2,3), then putting 3 into M blocks four paths.",to show flaw in reasoning,,,,,egbotdo
18102,18114,"To Mohammed,",by name,,,,,egbotdont
18134,18234,"look at the n paths

e_1, e_1+e_2, …, e_1+e_2+…+e_n
e_2, e_2+e_3, …, e_2+e_3+…+e_1
…
e_n, e_n+e_1, …",class of supporting examples,,,,,egbotdo
18236,18280,"Unfortunately, I think we are in a rut here.",meta-level comment about proof,,,,,egbotdont
18349,18638,"Let a_1<a_2<\cdots<a_n, then try the situation when the first step are blocked except for only one choice.

If M=\{a_1,\cdots,a_{i-1},a_{i+1},\cdots,a_n\}, then our first step is forced to take a_i. Then we can choose our second step as the largest one, a_n, to leave all landmines behind.",hypothesized case to explore conjecture/proof attempt,,,,,egbotdont
18640,18726,"I am thinking if we can continue this road, discuss different situations step by step.",meta-level comment about proof,,,,,egbotdont
18785,18802,Also addressing 1,by number,,,,,egbotdont
18804,19051,"I propose the following reformulation:
Prove the following to be false:
(a) exists b $\in$ M s.t any path contains a prefix s.t Sum(prefix) = b
This is equivalent with:
(b) any 2 paths, exists prefix in each of them s.t Sum(prefix1) = Sum(prefix2)",re-representation,,,,,egbotdont
18804,19316,"I propose the following reformulation:
Prove the following to be false:
(a) exists b $\in$ M s.t any path contains a prefix s.t Sum(prefix) = b
This is equivalent with:
(b) any 2 paths, exists prefix in each of them s.t Sum(prefix1) = Sum(prefix2)

It seems like (b) can be proven false by fixing one path, and then proving the existence of another with doesn’t not have the property (unless 2 of the numbers are equal, contradiction). Analysis for increasing length of the prefixes for first path seems to work.",case split,,,,,egbotdont
19372,19380,@mircea:,by name,,,,,egbotdont
19381,19794,"The S_k’s are arbitrary sums of the a_i elements. What I am saying is that the elements of M are each a potential “hit” (i.e. if an element of M cannot be expressed as a sum of a_i’s, then no grasshopper walk will step on it).. If only one of the sums S_k belongs to M, then we have at most k!(n-k)! walks that go through it, and then we can clearly find a walk out of the n! – k!(n-k)! that doesn’t go through M.",you're wrong,,,,,egbotdont
19859,19878,If I’m not mistaken,I might be wrong,,,,,egbotdont
19880,19910,what I said in my last comment,previous comment by the same contributor,,,,,egbotdont
19880,19943,what I said in my last comment can be proved by induction on n:,introducing your comment,,,,,egbotdont
19945,20822,"By Ind. Hyp., there are n vertex disjoint paths p_1,\ldots,p_n from 0^{n+1} to 1^n0, that only uses vertices that have 0 at the end. The last vertex of each p_i is a vertex of weight n-1 that has 0 at the end. From each p_i, 1\le i\le n-1, we can create a path p'_i from 0^{n+1} to 1^{n+1} by following p_i until the last vertex, which is of the form v0 where $v$ is a sequence of weight n-1, then jumping to v1, and then 1^{n+1}. From p_n, we create p'_n by following p_n to 1^n0 and then going to 1^{n+1}. Removing the internal vertices of all these paths, we are at least left with the n-cube containing all vertices of the form v1, except n-1 of the vertices of weight n. Say, the vertex of weight n that is not taken is 01^{n}. Then we can add another path p'_{n+1} as follows: 0^{n+1}, 010^{n-1}, 01^20^{n-2},\ldots,01^{n-1}0,01^n,1^{n+1}. All p'_i‘s are vertex disjoint.",induction,,,,,egbotdont
20824,20846,Am I making a mistake?,"question, I might be wrong",,,,,egbotdont
20902,20916,@David Speyer:,by name,,,,,egbotdont
20917,20922,Oops.,informal,,,,,egbotdont
20923,20936,You’re right.,you're right,,,,,egbotdont
20937,21045,"Maybe we can try to refine the count, i.e. show that not too many sets of a_i’s can sum to the same integer…",ammended error (own),,,,,egbotdont
21104,21112,@gowers:,by name,,,,,egbotdont
21114,21129,I thought about,informal,,,,,egbotdont
21114,21325,"I thought about induction on the set of all possible (a_1,\dots,a_n) with some ordering instead of n. Your approach might provide a nicer base so that one only has to decrease the a_i or throw some of them away.",induction,,,,,egbotdont
21216,21256,Your approach might provide a nicer base,suggested base case,,,,,egbotdont
21257,21325,so that one only has to decrease the a_i or throw some of them away.,explanation,,,,,egbotdont
21327,21457,"I.e. what happens if the claim is true for (a_1,\dots,a_n): is it also true for some subset (a_1,\dots,a_{i-1},a_{i+1},\dots,a_n)?","question, sub-conjecture",,,,,egbotdont
21527,21628,"Why can’t a S_{k_j} be the sum of another set of integers of a_1, a_2, \ldots, a_n as well as S_{k_j}",question,,,,,egbotdont
21711,21786,as there would be another set of walks based on the second set of integers.,explanation,,,,,egbotdont
21628,21710,that would make (k_j)!(n-k_j)! less than the total number of walks through S_{k_j},sub-conjecture,,,,,egbotdont
21787,21955,"if the a_1, a_2, \ldots, a_n are in arithemetic progression this will happen, the sum of the first and last will equal the sum of the second and the second to last etc.",sub-conjecture,,,,,egbotdont
21865,21955,the sum of the first and last will equal the sum of the second and the second to last etc.,explanation,,,,,egbotdont
22025,22041,In regards to 31,by number,,,,,egbotdont
22042,22229,"the proof regarding the n-cube doesn’t the same problem occur, that points of M can go to more than one point of the n cube(because the sums are the same so there are more than n-1 points",here is a mistake in your reasoning,,,,,egbotdont
22025,22103,In regards to 31 the proof regarding the n-cube doesn’t the same problem occur,question,,,,,egbotdont
22105,22165,that points of M can go to more than one point of the n cube,what I mean is...,,,,,egbotdont
22165,22229,(because the sums are the same so there are more than n-1 points,justification,,,,,egbotdont
22291,22309,"Right, my mistake.",you're right,,,,,egbotdont
22369,22392,Here’s a wrong argument,introducing your comment,,,,,egbotdont
22369,23056,"Here’s a wrong argument, but I wonder whether it could be turned into a correct argument somehow. It goes like this. Suppose we can find a sum of k of the numbers that is bigger than exactly k-1 of the forbidden points. Then we’ve split the problem into two: get to that point, and then get to the end. The trouble is that for the second part we have to take n-k steps and there are now n-k forbidden points. So we need something stronger. For instance, it would be enough if we could find a sum of k numbers that is bigger than exactly k forbidden points, followed by a jump that clears two forbidden points (and doesn’t land on a forbidden point). Then we’d have divided and conquered.",here's something I know is wrong,,,,,egbotdont
22398,22406,I wonder,informal,,,,,egbotdont
22467,22485,It goes like this.,introducing your comment,,,,,egbotdont
22486,23056,"Suppose we can find a sum of k of the numbers that is bigger than exactly k-1 of the forbidden points. Then we’ve split the problem into two: get to that point, and then get to the end. The trouble is that for the second part we have to take n-k steps and there are now n-k forbidden points. So we need something stronger. For instance, it would be enough if we could find a sum of k numbers that is bigger than exactly k forbidden points, followed by a jump that clears two forbidden points (and doesn’t land on a forbidden point). Then we’d have divided and conquered.",case split,,,,,egbotdont
23116,23122,"Sorry,",apologies,,,,,egbotdont
23123,23277,"I meant it’s enough if we can find a sum of k numbers that’s bigger than exactly k-1 forbidden points, followed by clearing at least two forbidden points.",what I mean is...,,,,,egbotdont
23116,23278,"Sorry, I meant it’s enough if we can find a sum of k numbers that’s bigger than exactly k-1 forbidden points, followed by clearing at least two forbidden points. ",ammended error (own),,,,,egbotdont
23278,23309,This feels vaguely topological.,emotion or value words,,,,,egbotdont
24518,24526,@gowers:,by name,,,,,egbotdont
24527,24717,"by induction, if several ones of the a_1<a_2<\cdots<a_n should be blocked, then they must be a_n,a_{n-1},\cdots, a_k. Otherwise, one can make the first step jump over at least one landmines.","induction, here is a mistake in your reasoning",,,,,egbotdont
24350,24452,"Anyone have any idea how to reason about the myriad ways \sum X = \sum Y when X,Y \in \mathcal{P}(A) ?",question,,,,,egbotdont
23745,23757,I was hoping,emotion or value words,,,,,egbotdont
23365,24348,"So the approach I was looking at was to try splitting the possible sums on a_i into two partially disjoint sets, made up of (respectively) all possible sums of a_1..a_n without a_i, and all possible sums with a_i. Those two sets have to be the same size, and each forms a smaller instance of almost the same problem, setting a’ = (a1..a_n without a_i), and M’ = {m-a_i} or M’=M.

I was hoping to find some way of removing a member of either of the M’ sets to apply induction — if it worked I could just choose to do a_i either first or last, with the simpler problem in-between, but couldn’t find a way to do it. The problem is that they don’t quite reduce that easily, for instance choosing A={2,3,5,7}, M={7,10,12}, and a_i=2, gives A’={3,5,7} and M’={5,8,10} or {7,10,12}. On the other hand, if you select a_i=3, and M’={4,7,9}, you quickly find 4 isn’t the sum of any combination of {2,5,7}, so can reduce it to A’={2,5,7},M’={7,9}, which is n=k-1 and you have an inductive step.",induction,,,,,egbotdont
23978,24140,"The problem is that they don’t quite reduce that easily, for instance choosing A={2,3,5,7}, M={7,10,12}, and a_i=2, gives A’={3,5,7} and M’={5,8,10} or {7,10,12}.",to show flaw in reasoning,,,,,egbotdo
24141,24348,"On the other hand, if you select a_i=3, and M’={4,7,9}, you quickly find 4 isn’t the sum of any combination of {2,5,7}, so can reduce it to A’={2,5,7},M’={7,9}, which is n=k-1 and you have an inductive step.",hypothesized case to explore conjecture/proof attempt,,,,,egbotdont
24776,24798,Here’s a new approach:,introducing your comment,,,,,egbotdont
25093,25237,our problem is equivalent to showing that the union of Mj for al j=<n covers all possible sets of integers (of size n-1) not containing a1+…+an.,translate the conjecture,,,,,egbotdont
24800,25237,"For each j, let Sn_j be the set of permutations with j fixed points. For a permutation s in Sn_j, we say that a set of integers M (as above) is s-compatible if it doesn’t contain a sum of the form a_s(1)+…+a_s(k) . Denote by Mj the collection of all s-compatible sets for some s in Sn_j. Now, our problem is equivalent to showing that the union of Mj for al j=<n covers all possible sets of integers (of size n-1) not containing a1+…+an.",,,,,,egbotdont
25366,25459,"(I'm sorry if this is being reposted, as I experience some technical problems with this blog)",technical issues,,,,,egbotdont
25239,25364,"Now, it's easy to characterize Mn, and I guess that an easy characterization of the other Mj's may help us finish this proof…",meta-level comment about proof,,,,,egbotdont
25517,25540,Sort of a meta-comment.,introducing your comment,,,,,egbotdont
25541,25634,It seems to me there are (at least) two really different flavors of approach to this problem.,meta-level comment about proof,,,,,egbotdont
25636,25997,"ALGORITHMIC APPROACH: where you try to make some kind of inductive argument, a la aj’s 46 above, where the end result would be a procedure that constructed the desired hop-sequence. You can imagine assigning some kind of “barrier to completion” quantity to each state of the grasshopper, and making an argument that that quantity can be decreased at each step.",induction,,,,,egbotdont
25998,26251,"COUNTING APPROACH: trying to show that there are fewer forbidden hop-sequences than there are sequences, a la Tim’s 27. This would give a solution to the IMO problem without providing any easy way to construct a sequence avoiding the forbidden integers.",combinatorial,,,,,egbotdont
26103,26117,a la Tim’s 27.,"by name, by number",,,,,egbotdont
26253,26602,"If the second approach turns out to be successful, it might be an interesting “beyond the IMO” problem to figure out whether there is, in fact, a reasonably fast deterministic algorithm for finding a good sequence! (I can imagine that choosing random sequences might be pretty fast in practice, if indeed the number of forbidden sequences is small.)","constructive, extension to the problem",,,,,egbotdont
26661,26756,Maybe the graph approach started by David Speyer and followed by Mohammad is not entirely dead.,by content,,,,,egbotdont
26697,26709,David Speyer,by name,,,,,egbotdont
26726,26734,Mohammad,by name,,,,,egbotdont
